position;colour
[-9,161,2];[22,21,26]
[-10,160,3];[48,37,33]
[-9,160,4];[35,21,18]
[-7,159,-12];[105,45,11]
[-9,164,0];[134,77,48]
[-9,159,6];[129,59,8]
[-8,166,5];[185,80,0]
[-7,162,-12];[103,45,7]
[-9,157,6];[201,135,61]
[-9,157,5];[89,41,18]
[-10,157,3];[52,31,12]
[-9,159,4];[108,50,13]
[13,168,13];[119,44,2]
[17,178,17];[31,18,10]
[10,186,15];[55,27,6]
[-17,146,-16];[89,49,23]
[10,171,12];[31,16,11]
[8,170,11];[158,53,6]
[-1,177,10];[203,96,14]
[6,181,13];[189,88,0]
[5,182,13];[248,160,36]
[-12,150,-15];[73,49,21]
[-17,147,-16];[91,38,0]
[7,155,12];[96,57,18]
[-8,155,6];[39,31,20]
[-7,160,-10];[120,55,15]
[-7,159,-11];[108,48,12]
[-6,160,-10];[127,56,12]
[-6,159,-11];[108,48,12]
[-9,156,5];[24,17,9]
[-17,145,-16];[48,22,0]
[10,179,15];[225,140,33]
[10,179,14];[191,85,9]
[-8,168,2];[161,75,26]
[-10,156,3];[31,22,13]
[-11,152,-15];[45,28,10]
[-5,154,10];[37,27,18]
[-15,147,-15];[35,26,17]
[18,187,17];[215,99,0]
[20,185,18];[250,177,22]
[17,177,17];[37,23,12]
[-12,148,-15];[61,26,6]
[-5,162,7];[235,151,61]
[9,181,14];[241,153,43]
[12,169,12];[15,5,4]
[4,143,20];[237,154,36]
[3,143,20];[236,171,9]
[5,140,21];[4,0,3]
[2,142,19];[196,114,40]
[4,141,21];[54,35,21]
[4,140,21];[8,9,4]
[-16,149,-16];[217,137,66]
[8,149,17];[135,80,41]
[-1,160,14];[167,72,4]
[-7,168,5];[215,123,10]
[-2,151,14];[33,23,14]
[-1,155,15];[138,52,1]
[-1,154,15];[188,97,16]
[-10,148,-16];[90,41,8]
[-11,147,-16];[87,36,5]
[-2,160,11];[154,53,0]
[16,185,15];[154,43,0]
[-16,148,-16];[177,115,54]
[-10,154,5];[109,49,0]
[-10,154,4];[109,49,0]
[-13,148,-15];[44,29,10]
[4,140,20];[77,60,53]
[-9,153,6];[198,148,77]
[-8,153,6];[142,85,42]
[2,141,19];[83,55,34]
[-3,150,12];[188,104,42]
[-13,150,-15];[153,108,75]
[-5,148,10];[143,52,0]
[2,140,20];[21,12,15]
[15,177,16];[221,151,65]
[-13,151,-15];[166,98,51]
[-11,154,2];[128,99,69]
[3,142,20];[234,162,18]
[-10,153,4];[87,61,46]
[-13,147,-15];[50,26,0]
[-8,151,6];[35,27,14]
[-9,152,5];[24,19,15]
[4,144,20];[241,127,15]
[-3,162,10];[100,30,0]
[-7,169,4];[194,93,25]
[15,176,16];[169,60,0]
[-10,151,3];[52,16,0]
[-6,157,9];[174,84,31]
[-6,157,8];[201,115,54]
[-10,152,4];[39,34,30]
[-6,159,7];[136,67,25]
[15,186,16];[242,171,21]
[8,149,14];[207,115,30]
[-8,172,2];[106,53,1]
[7,148,12];[218,104,18]
[7,148,11];[251,136,29]
[-10,149,5];[183,94,26]
[-10,150,4];[146,65,10]
[19,184,17];[207,83,19]
[-6,161,8];[188,139,83]
[-6,161,7];[141,104,62]
[8,147,15];[55,38,12]
[-7,148,7];[151,67,5]
[-9,151,5];[67,45,32]
[-8,150,6];[126,60,10]
[-9,150,5];[127,61,13]
[7,151,17];[45,24,5]
[-9,162,1];[87,46,16]
[-10,148,3];[138,58,9]
[-8,147,6];[145,59,0]
[-4,156,10];[211,118,25]
[7,181,14];[206,110,0]
[7,148,13];[238,123,40]
[13,167,14];[97,36,7]
[-3,175,7];[179,75,4]
[7,164,12];[133,82,39]
[8,144,12];[128,62,14]
[-4,154,11];[36,26,16]
[13,161,11];[131,44,1]
[10,160,10];[170,79,24]
[13,175,14];[139,41,2]
[11,176,14];[169,63,5]
[-2,160,13];[127,42,1]
[-2,160,12];[137,55,5]
[14,169,16];[234,145,25]
[8,161,10];[28,0,0]
[3,181,13];[229,146,6]
[8,167,11];[128,45,3]
[12,176,15];[131,34,1]
[12,176,14];[141,43,4]
[13,173,14];[178,70,5]
[11,175,14];[155,53,4]
[17,180,18];[76,56,49]
[-7,167,5];[177,77,17]
[13,173,15];[160,51,8]
[17,176,17];[50,38,22]
[-4,168,7];[211,121,58]
[-8,169,1];[133,50,8]
[-3,168,9];[101,34,0]
[-9,158,6];[197,122,67]
[12,160,10];[133,44,0]
[11,160,10];[158,67,14]
[19,186,18];[246,169,11]
[10,177,14];[181,76,18]
[-4,160,10];[73,31,9]
[13,172,14];[166,56,0]
[9,177,14];[202,86,0]
[8,163,10];[113,40,7]
[6,164,12];[149,97,39]
[12,171,14];[164,63,7]
[13,171,14];[169,65,14]
[17,184,16];[233,133,39]
[9,165,10];[160,72,22]
[-2,174,9];[164,65,10]
[-8,174,2];[124,62,21]
[-7,174,2];[104,68,36]
[-4,147,13];[161,65,7]
[5,144,20];[229,118,11]
[-4,172,8];[45,30,25]
[5,143,21];[213,115,14]
[5,143,20];[213,106,10]
[6,146,20];[242,143,16]
[7,154,17];[248,157,25]
[-8,151,7];[50,29,12]
[-8,170,1];[121,48,13]
[7,169,11];[193,92,22]
[6,167,12];[116,55,0]
[3,171,15];[186,123,30]
[-1,142,16];[242,171,79]
[6,177,12];[199,88,9]
[2,172,15];[237,145,18]
[4,177,13];[224,146,0]
[3,178,14];[251,189,18]
[3,176,14];[249,187,16]
[2,173,15];[246,144,20]
[3,175,14];[236,155,11]
[5,148,20];[243,143,6]
[-5,146,10];[244,141,12]
[5,175,13];[255,191,43]
[6,170,12];[217,120,7]
[-9,170,3];[207,126,34]
[4,176,13];[239,162,4]
[6,168,12];[235,134,20]
[6,144,20];[231,114,9]
[6,169,12];[240,151,25]
[5,149,19];[247,155,20]
[6,168,13];[110,72,27]
[4,170,14];[255,185,55]
[-1,143,16];[232,164,79]
[3,172,15];[253,183,36]
[14,171,16];[213,121,22]
