position;colour
[-54,47,-9];[2,2,2]
[-52,47,-9];[2,2,2]
[-52,50,-10];[69,63,47]
[-54,50,-10];[67,62,59]
[-18,24,6];[1,1,0]
[-55,25,-6];[29,24,5]
[-54,25,-6];[220,196,86]
[84,33,5];[65,67,66]
[-49,47,-9];[2,2,0]
[-50,47,-9];[2,2,2]
[-49,33,12];[60,64,63]
[-29,47,-9];[10,10,8]
[-18,26,0];[34,34,34]
[-45,47,-9];[80,73,47]
[-36,33,12];[64,64,64]
[-33,50,-10];[252,208,41]
[19,39,-14];[36,48,84]
[-37,50,-10];[76,66,41]
[16,36,16];[61,61,61]
[-18,41,16];[93,92,97]
[-18,39,16];[50,47,54]
[15,36,16];[67,67,69]
[17,36,16];[63,62,67]
[15,35,16];[64,62,63]
[13,34,16];[70,68,71]
[-9,32,16];[69,70,75]
[-11,47,16];[72,70,73]
[13,47,16];[69,66,57]
[15,46,16];[68,70,69]
[14,46,16];[66,67,62]
[-18,45,16];[68,68,68]
[-18,44,16];[84,84,84]
[-18,36,16];[67,66,71]
[-10,33,16];[88,89,94]
[-11,33,16];[72,73,78]
[7,31,16];[84,84,84]
[-9,49,15];[70,70,72]
[12,49,16];[67,69,68]
[-9,48,16];[59,63,66]
[12,48,16];[65,67,66]
[12,47,16];[96,96,96]
[-15,47,16];[89,90,92]
[31,45,16];[45,47,44]
[32,45,16];[32,32,32]
[30,45,16];[46,47,49]
[28,44,16];[40,40,38]
[33,44,16];[33,33,31]
[33,43,16];[48,48,48]
[28,43,16];[39,39,39]
[26,43,16];[36,36,34]
[34,42,16];[43,44,46]
[34,41,16];[50,51,53]
[25,41,16];[40,40,40]
[25,40,16];[47,48,50]
[33,38,16];[35,35,35]
[32,38,16];[42,44,43]
[32,37,16];[32,32,32]
[31,37,16];[33,33,33]
[-18,35,16];[77,76,81]
[-12,34,16];[92,92,94]
[-18,34,15];[90,90,92]
[10,32,16];[76,78,77]
[14,47,16];[109,110,112]
[16,47,16];[111,114,119]
[-17,46,16];[2,2,2]
[-12,46,16];[59,61,60]
[-12,45,16];[70,71,73]
[26,44,16];[32,31,29]
[30,43,16];[44,46,43]
[29,43,16];[28,28,26]
[33,42,16];[20,20,22]
[30,42,16];[23,21,22]
[27,42,16];[35,35,35]
[41,42,15];[84,83,81]
[31,42,16];[33,35,34]
[33,41,16];[45,45,43]
[32,41,16];[52,53,55]
[27,41,16];[62,63,65]
[-11,41,16];[66,68,67]
[33,40,16];[42,44,43]
[31,40,16];[33,35,34]
[28,40,16];[45,46,48]
[33,39,16];[45,46,48]
[32,39,16];[24,24,24]
[26,39,16];[42,42,42]
[34,39,16];[42,44,43]
[28,38,16];[37,37,37]
[29,38,16];[62,62,64]
[26,38,16];[33,34,29]
[30,38,16];[50,50,52]
[-11,38,16];[66,70,73]
[-12,38,16];[83,83,85]
[30,37,16];[34,34,34]
[-17,36,16];[6,6,8]
[-17,35,16];[18,16,17]
[-12,33,16];[56,55,53]
[-6,32,16];[55,55,53]
[17,47,16];[5,5,5]
[-10,47,16];[36,41,44]
[-11,46,16];[54,53,58]
[16,45,16];[85,87,84]
[-11,45,16];[71,70,75]
[-11,44,16];[68,69,71]
[-12,44,16];[76,80,81]
[28,44,15];[43,43,43]
[-17,43,16];[1,1,1]
[29,44,15];[40,42,41]
[30,43,15];[43,45,44]
[31,43,15];[57,59,58]
[32,43,15];[30,30,30]
[27,43,15];[39,40,35]
[26,42,15];[39,41,40]
[-11,42,16];[77,81,84]
[-11,42,15];[4,4,4]
[33,42,15];[18,18,18]
[27,42,15];[53,54,56]
[-11,41,15];[6,7,11]
[27,41,15];[48,50,49]
[26,41,15];[51,51,51]
[33,40,15];[29,30,32]
[32,40,15];[48,48,48]
[-12,40,16];[68,72,75]
[27,40,15];[45,45,45]
[26,40,15];[27,29,28]
[26,39,15];[42,42,40]
[-11,40,15];[43,44,46]
[33,39,15];[41,43,42]
[32,39,15];[40,42,41]
[-11,39,15];[7,10,15]
[31,38,15];[31,33,32]
[-11,38,15];[16,19,26]
[17,37,16];[55,54,52]
[30,37,15];[44,44,44]
[-11,35,16];[83,83,83]
[-10,34,16];[59,60,62]
[11,33,16];[109,111,108]
[10,33,16];[63,62,60]
[0,31,16];[107,108,112]
[-4,31,16];[104,105,107]
[27,47,15];[70,71,75]
[18,47,15];[80,81,85]
[32,47,15];[79,79,81]
[31,47,15];[80,80,80]
[20,47,15];[75,78,85]
[17,45,16];[41,43,42]
[-11,44,15];[37,38,42]
[-12,43,16];[93,99,99]
[29,42,15];[23,23,23]
[28,41,15];[17,21,22]
[31,41,15];[35,39,38]
[30,40,15];[2,2,2]
[29,40,15];[9,10,12]
[27,38,15];[43,45,44]
[28,39,15];[42,42,40]
[-17,38,16];[2,2,2]
[29,38,15];[22,22,22]
[18,36,16];[76,75,73]
