position;colour
[-18,63,27];[82,73,66]
[-15,70,26];[66,60,49]
[-10,71,28];[79,68,65]
[-12,71,27];[82,60,41]
[-11,70,29];[93,83,77]
[-13,70,28];[99,93,90]
[-16,69,27];[62,52,46]
[-21,68,24];[74,69,66]
[-13,66,30];[84,75,68]
[-14,66,30];[85,75,76]
[-9,72,29];[82,75,74]
[-10,71,29];[79,73,71]
[-12,71,28];[156,121,82]
[-12,70,28];[49,40,41]
[-12,69,29];[57,49,43]
[-12,68,29];[90,81,74]
[-12,67,30];[82,77,74]
[-12,66,30];[87,78,79]
[-13,67,29];[33,28,16]
[-14,70,27];[79,75,73]
[-14,69,27];[71,64,63]
[-14,68,28];[68,62,60]
[-14,67,29];[66,60,57]
[-15,70,27];[62,53,46]
[-15,67,28];[74,69,65]
[-15,66,29];[82,77,74]
[-16,70,26];[65,56,49]
[-16,68,27];[65,59,57]
[-16,67,27];[71,64,62]
[-17,69,26];[65,58,57]
[-17,67,27];[73,66,65]
[-18,69,26];[68,61,60]
[-19,67,26];[85,74,74]
[-21,68,25];[74,65,57]
[-35,67,23];[41,61,101]
[-32,52,29];[82,69,66]
[-31,54,30];[74,65,66]
[-24,60,31];[38,49,87]
[-37,58,25];[68,59,60]
[-19,84,19];[145,134,128]
[-37,73,13];[82,69,66]
[-8,72,30];[109,95,93]
[-10,68,30];[90,81,79]
[-9,70,30];[33,77,115]
[-11,68,30];[84,75,71]
[-10,76,28];[132,113,107]
[-11,77,27];[90,77,74]
[-9,76,28];[153,139,137]
[-10,77,27];[156,142,140]
[-11,78,26];[99,89,82]
[-29,78,22];[165,154,148]
[-30,77,22];[99,85,74]
[-13,78,26];[90,81,76]
[-13,77,27];[57,52,49]
[-13,79,26];[90,81,76]
[-15,80,24];[101,89,87]
[-14,80,24];[82,73,74]
[-16,81,23];[74,65,66]
[-14,82,22];[134,121,118]
[-13,80,23];[82,69,66]
[-14,81,22];[96,85,79]
[-23,84,17];[112,102,96]
[-22,84,16];[134,121,118]
[-23,84,16];[107,93,90]
[-24,84,15];[82,77,74]
[-24,72,29];[132,105,41]
[-24,73,28];[129,104,41]
[-24,74,27];[132,105,41]
[-25,74,27];[132,109,41]
[-25,73,28];[129,104,41]
[-26,73,27];[173,134,41]
[-20,83,20];[142,131,126]
[-20,84,20];[142,129,126]
[-21,83,21];[142,128,126]
[-22,83,20];[123,113,115]
[-20,82,22];[140,125,123]
[-20,83,21];[173,158,156]
[-19,84,20];[181,166,165]
[-11,78,25];[76,70,68]
[-17,85,20];[142,126,123]
[-18,83,21];[140,124,123]
[-18,84,20];[145,134,128]
[-15,82,22];[115,101,99]
[-16,84,21];[112,104,104]
[-16,82,22];[117,106,107]
[-17,82,23];[120,107,107]
[-17,83,22];[123,109,107]
[-17,84,21];[82,65,66]
[-16,85,20];[132,121,115]
[-18,85,18];[148,136,131]
[-20,84,18];[134,131,134]
[-19,85,18];[140,125,123]
[-22,83,19];[117,105,101]
[-16,86,17];[33,81,115]
[-18,85,17];[154,136,134]
[-20,85,17];[145,130,129]
[-21,85,17];[123,109,107]
[-35,79,11];[134,121,118]
[-36,75,12];[90,81,74]
[-26,83,14];[82,73,74]
[-23,60,31];[24,24,49]
[-17,62,33];[82,73,74]
[-18,61,33];[74,69,66]
[-19,61,33];[71,63,60]
[-16,64,32];[79,71,66]
[-14,68,31];[109,99,93]
[-14,67,32];[101,95,98]
[-15,66,32];[90,81,74]
[-16,65,32];[84,75,74]
[-15,67,32];[98,88,90]
[-15,68,32];[101,87,84]
