position;colour
[-340,46,-52];[104,101,86]
[-340,46,-51];[76,79,62]
[352,108,-87];[28,26,27]
[353,94,-88];[62,67,71]
[354,105,-89];[17,12,8]
[355,96,-89];[15,9,9]
[353,111,-88];[55,54,52]
[353,110,-88];[44,43,41]
[353,108,-89];[33,32,27]
[353,107,-89];[27,29,24]
[351,107,-87];[28,24,23]
[354,104,-89];[16,11,7]
[353,101,-87];[30,26,23]
[355,94,-89];[15,9,9]
[356,83,-90];[15,12,7]
[356,81,-90];[8,7,5]
[356,80,-90];[10,6,7]
[357,79,-90];[24,20,21]
[358,70,-90];[26,24,25]
[357,76,-90];[8,10,7]
[356,87,-90];[25,21,12]
[356,86,-90];[23,18,12]
[356,82,-89];[12,8,5]
[355,95,-90];[8,6,7]
[355,91,-89];[10,12,11]
[355,90,-89];[10,10,8]
[355,88,-89];[11,7,4]
[354,101,-89];[12,11,9]
[354,97,-89];[14,11,6]
[354,94,-89];[15,9,9]
[354,92,-88];[10,11,15]
[353,112,-89];[60,65,61]
[353,110,-89];[44,43,41]
[353,109,-88];[40,41,36]
[353,108,-88];[33,32,27]
[353,101,-88];[22,22,22]
[352,111,-88];[49,54,50]
[352,109,-88];[30,32,31]
[352,107,-88];[24,25,17]
[352,105,-87];[22,21,19]
[352,104,-87];[27,27,27]
[352,103,-87];[32,33,35]
[352,102,-87];[44,49,55]
[351,109,-87];[27,29,28]
[-329,229,-63];[144,98,65]
[-328,228,-63];[142,105,63]
[-329,227,-63];[143,102,70]
[-328,230,-64];[139,101,65]
[-329,226,-63];[144,104,69]
[-329,225,-63];[150,106,67]
[-345,227,-65];[59,62,67]
[-344,227,-65];[97,81,66]
[-383,155,-26];[46,42,39]
[-383,155,-27];[89,88,86]
[-388,153,-17];[65,72,82]
[-366,63,-64];[48,48,50]
[426,25,-56];[29,21,18]
[429,25,-56];[10,14,17]
[425,25,-56];[30,22,19]
[424,25,-54];[36,26,17]
[424,25,-55];[34,22,22]
[424,24,-57];[28,23,17]
[444,105,-55];[42,42,42]
[395,77,2];[88,74,71]
[-258,29,-25];[92,92,94]
[-258,29,-26];[87,86,82]
[-259,29,-26];[79,81,78]
[405,11,-62];[82,73,66]
[-300,205,-42];[78,65,49]
[-292,211,-42];[76,74,62]
[-293,210,-42];[40,42,28]
[-301,204,-42];[54,49,43]
[-303,207,-43];[169,130,91]
[-304,207,-43];[169,130,91]
[-302,214,-45];[54,41,33]
[-302,214,-46];[147,107,71]
[-304,213,-44];[155,118,76]
[-304,199,-40];[61,62,48]
[-303,202,-42];[57,50,40]
[-312,216,-46];[149,105,66]
[-314,215,-46];[100,74,61]
[-314,215,-47];[173,127,78]
[-301,204,-44];[50,48,36]
[-288,200,-43];[150,114,88]
[-290,200,-42];[50,46,34]
[-301,212,-44];[85,64,47]
[-301,209,-44];[51,41,32]
[-301,205,-42];[47,43,34]
[-300,207,-43];[113,95,81]
[-301,206,-43];[99,80,63]
[-300,207,-44];[39,38,33]
[-292,206,-43];[118,97,70]
[-295,200,-43];[58,50,39]
[-288,205,-43];[73,47,34]
[-283,234,-61];[112,87,65]
[-308,207,-43];[62,58,46]
[-307,208,-43];[157,122,82]
[-309,206,-42];[71,60,40]
[-281,232,-61];[130,91,60]
[-282,232,-61];[124,87,58]
[-283,232,-62];[129,90,59]
[-283,233,-61];[115,89,72]
[-305,205,-42];[154,121,90]
[-307,204,-42];[64,58,44]
[-313,206,-44];[105,84,65]
[-313,207,-45];[91,72,55]
[-319,205,-45];[41,37,34]
[-310,206,-42];[85,80,74]
[-311,205,-42];[44,45,40]
[-310,204,-42];[69,75,71]
[-311,204,-42];[82,75,56]
[-312,204,-43];[98,81,65]
[-313,204,-43];[51,52,44]
[-312,203,-43];[44,45,31]
[-311,202,-44];[65,57,42]
[-311,202,-43];[65,57,42]
[-310,202,-44];[79,70,55]
[-309,201,-43];[49,50,36]
[-314,210,-45];[113,87,64]
[-309,212,-44];[56,56,44]
