position;colour
[-86,267,71];[198,178,165]
[-86,267,70];[162,144,134]
[-85,268,70];[198,182,173]
[-86,268,71];[198,178,165]
[-80,265,76];[115,102,95]
[-85,265,73];[76,65,62]
[-101,266,58];[41,81,115]
[-102,266,58];[123,121,120]
[-104,265,58];[206,182,165]
[-104,265,57];[206,199,189]
[-106,260,60];[33,81,115]
[-93,262,73];[156,142,140]
[-94,261,72];[140,125,123]
[-95,261,72];[134,120,115]
[-91,262,73];[159,145,140]
[-91,262,71];[156,142,140]
[-92,262,72];[156,142,140]
[-92,262,71];[145,133,131]
[-93,261,71];[140,125,115]
[-110,259,58];[115,101,90]
[-110,259,57];[123,110,101]
[-109,260,57];[134,121,112]
[-109,260,56];[132,121,115]
[-109,259,58];[123,110,101]
[-110,258,56];[95,88,88]
[-109,259,57];[131,120,112]
[-109,259,56];[123,109,99]
[-50,237,85];[79,70,62]
[-49,235,83];[87,78,71]
[-47,233,80];[74,65,57]
[-48,235,83];[99,89,82]
[-48,234,82];[66,60,49]
[-49,236,84];[84,75,68]
[-50,236,85];[74,65,57]
[-51,237,87];[90,79,71]
[-62,212,92];[74,69,66]
[-61,212,92];[79,70,62]
[-61,211,92];[74,65,57]
[-59,209,88];[90,81,74]
[-61,211,91];[74,65,57]
[-62,213,93];[65,59,55]
[-62,212,93];[65,59,55]
[-52,238,84];[74,69,66]
[-52,237,82];[84,75,68]
[-52,237,83];[84,75,68]
[-53,239,85];[90,79,71]
[-47,236,80];[63,57,54]
[-48,237,82];[57,52,49]
[-48,236,81];[60,54,51]
[-50,238,84];[49,42,41]
[-50,238,83];[49,45,41]
[-53,240,103];[99,89,82]
[-51,239,103];[99,89,82]
[-50,239,102];[107,93,82]
[-51,239,102];[107,93,82]
[-52,240,103];[107,89,82]
[-65,263,85];[206,186,173]
[-65,263,84];[148,133,123]
[-59,245,100];[134,121,112]
[-49,250,98];[57,73,90]
[-39,223,101];[82,77,74]
[-38,227,99];[87,78,74]
[-32,235,98];[82,73,74]
[-43,225,98];[49,48,41]
[-51,224,94];[74,69,66]
[-58,230,86];[68,61,60]
[-66,227,83];[74,60,57]
[-72,226,80];[140,130,123]
[-24,246,96];[132,117,115]
[-26,244,96];[82,73,74]
[-30,244,94];[107,97,93]
[-31,244,94];[74,69,66]
[-32,243,93];[79,73,71]
[-33,241,94];[82,74,71]
[-36,241,92];[76,68,68]
[-28,240,97];[82,73,74]
[-39,240,91];[117,98,71]
[-41,240,90];[154,127,90]
[-42,240,90];[132,105,74]
[-31,239,97];[79,73,71]
[-34,239,95];[57,48,49]
[-44,239,89];[109,93,62]
[-45,239,89];[173,138,90]
[-42,238,91];[165,134,82]
[-44,238,89];[165,142,90]
[-47,238,88];[132,101,66]
[-31,237,98];[90,77,74]
[-35,237,95];[41,32,24]
[-44,237,90];[123,97,66]
[-45,237,90];[98,76,55]
[-49,237,87];[68,51,40]
[-30,236,98];[79,74,68]
[-39,236,93];[123,93,66]
[-42,236,92];[73,57,49]
[-46,236,89];[95,74,52]
[-47,236,89];[104,91,87]
[-50,236,87];[104,88,85]
[-53,236,86];[77,67,65]
[-34,235,98];[84,78,74]
[-37,235,96];[41,36,33]
[-42,235,93];[73,57,49]
[-45,235,91];[79,75,73]
[-55,235,85];[71,62,63]
[-34,234,98];[79,75,74]
[-38,234,95];[54,44,38]
[-43,234,93];[107,101,99]
[-47,234,90];[85,73,68]
[-53,234,87];[62,57,54]
[-59,234,84];[71,61,62]
[-32,233,99];[90,77,74]
[-37,233,97];[66,52,49]
[-55,233,86];[63,57,54]
[-60,233,83];[65,63,60]
[-34,232,98];[82,73,74]
[-36,232,97];[126,112,104]
[-38,232,96];[54,48,38]
[-41,232,94];[66,60,57]
[-48,232,90];[68,59,51]
[-52,232,88];[63,56,51]
[-58,232,85];[66,56,57]
[-63,232,82];[71,67,62]
[-64,232,82];[76,67,68]
[-34,231,100];[87,82,79]
[-36,231,99];[87,78,79]
[-41,231,96];[71,60,54]
[-42,231,95];[132,121,115]
[-43,231,95];[71,64,60]
[-56,231,87];[62,59,54]
[-67,231,81];[68,60,60]
[-37,230,99];[87,78,79]
[-42,230,96];[66,60,57]
[-44,230,95];[66,60,57]
[-59,230,86];[68,61,60]
[-64,230,83];[76,68,63]
[-69,230,80];[66,60,57]
[-70,230,80];[71,64,60]
[-57,229,88];[57,56,49]
[-64,229,84];[66,60,57]
[-67,229,82];[71,65,62]
[-73,229,79];[73,60,57]
[-39,228,98];[90,81,74]
[-44,228,95];[68,60,60]
[-55,228,89];[57,44,41]
[-58,228,87];[65,61,57]
[-61,228,86];[71,65,62]
[-63,228,84];[82,73,66]
[-64,228,84];[71,64,62]
[-36,227,101];[84,75,71]
[-40,227,99];[93,86,82]
[-43,227,97];[82,77,74]
[-45,227,96];[66,56,57]
[-58,227,88];[71,62,57]
[-64,227,85];[76,68,63]
[-68,227,82];[74,69,66]
[-78,227,77];[57,40,38]
[-51,226,93];[82,73,74]
[-53,226,92];[74,65,66]
[-67,226,84];[74,65,57]
[-69,226,82];[84,77,71]
[-70,226,82];[74,69,66]
[-81,226,76];[68,60,54]
[-38,225,100];[82,77,74]
[-45,225,96];[76,71,68]
[-57,225,89];[66,60,57]
[-66,225,84];[74,65,57]
[-75,225,79];[57,48,41]
[-44,224,97];[71,64,63]
[-46,224,96];[66,60,57]
[-55,224,91];[66,60,57]
[-70,224,83];[57,48,41]
[-41,223,101];[82,73,74]
[-43,223,100];[82,73,66]
[-44,223,99];[33,24,24]
[-46,223,98];[52,48,44]
[-47,223,97];[74,73,66]
[-48,223,97];[74,69,66]
[-53,223,94];[76,67,68]
[-56,223,92];[71,64,62]
[-60,223,90];[65,59,54]
[-63,223,88];[65,57,49]
[-65,223,87];[66,52,49]
[-67,223,86];[57,52,49]
[-41,222,101];[90,81,74]
[-43,222,100];[82,73,66]
[-50,222,96];[66,60,57]
[-54,222,94];[71,61,62]
[-61,222,90];[49,44,41]
[-39,221,102];[82,77,74]
[-51,221,96];[82,73,71]
[-54,221,94];[90,85,82]
[-56,221,93];[62,52,49]
[-45,220,99];[33,36,24]
[-41,219,103];[82,75,74]
[-44,219,101];[82,69,66]
[-46,219,100];[54,52,52]
[-25,245,96];[74,73,66]
[-26,244,97];[82,73,74]
[-27,245,96];[82,73,74]
[-27,244,96];[82,75,74]
[-27,243,97];[82,73,74]
[-27,242,97];[79,74,71]
[-27,241,98];[84,79,76]
[-28,242,97];[82,77,74]
[-28,239,98];[84,77,76]
[-29,243,95];[82,73,74]
[-29,242,96];[82,77,74]
[-29,241,96];[82,73,74]
[-29,240,97];[84,74,68]
[-29,237,98];[82,77,74]
[-30,244,95];[82,73,74]
[-30,243,95];[79,74,71]
[-30,242,96];[82,77,74]
[-30,241,96];[79,74,71]
[-30,239,98];[82,73,66]
[-30,238,98];[90,77,74]
[-31,243,94];[79,73,71]
[-31,242,94];[79,73,71]
[-31,241,95];[90,81,82]
[-31,240,96];[84,77,76]
[-31,239,96];[79,73,71]
[-31,238,97];[79,74,68]
[-31,237,97];[90,77,74]
[-31,236,98];[87,75,79]
[-31,235,99];[82,73,74]
[-32,240,95];[73,64,65]
[-32,239,96];[79,73,71]
[-32,235,99];[87,75,79]
[-32,233,100];[82,78,76]
[-32,232,100];[82,78,76]
[-33,243,94];[90,81,82]
[-33,241,95];[82,73,74]
[-33,240,95];[73,64,65]
[-33,238,96];[79,68,65]
[-33,237,97];[82,73,74]
[-33,236,97];[90,81,82]
[-33,234,98];[79,75,74]
[-33,232,99];[84,79,76]
[-33,231,100];[87,82,79]
[-33,230,100];[90,85,82]
[-34,242,93];[79,73,71]
[-34,241,93];[82,74,71]
[-34,240,94];[66,52,49]
[-34,239,94];[57,41,29]
[-34,238,95];[57,48,49]
[-34,237,96];[126,115,106]
[-34,235,97];[87,78,79]
[-34,233,98];[79,75,74]
[-34,231,99];[82,77,74]
[-34,230,100];[84,75,76]
[-34,229,100];[82,73,74]
[-35,242,93];[76,68,68]
[-35,241,93];[90,81,82]
[-35,240,94];[66,52,49]
[-35,238,95];[41,32,24]
[-35,237,96];[82,77,74]
[-35,236,96];[126,115,106]
[-35,233,98];[74,73,74]
[-35,232,98];[84,75,76]
[-35,230,100];[87,78,79]
[-35,229,100];[82,73,74]
[-35,228,101];[87,78,76]
[-35,227,101];[87,78,76]
[-36,241,93];[90,81,82]
[-36,236,95];[60,45,35]
[-36,234,96];[93,83,77]
[-36,233,97];[126,112,104]
[-36,232,98];[96,82,76]
[-36,229,99];[87,78,79]
[-36,228,100];[87,78,76]
[-36,227,100];[84,75,71]
[-36,226,101];[84,75,71]
[-36,225,101];[82,73,74]
[-37,238,93];[123,93,66]
[-37,237,94];[57,36,24]
[-37,230,98];[101,89,85]
[-37,229,99];[84,75,76]
[-37,228,99];[84,75,74]
[-37,227,100];[87,78,74]
[-37,226,101];[82,73,74]
[-37,225,101];[87,78,79]
[-37,223,102];[87,75,74]
[-38,241,92];[57,48,49]
[-38,240,92];[74,59,49]
[-38,239,93];[107,86,65]
[-38,236,94];[156,121,82]
[-38,234,96];[41,36,33]
[-38,233,96];[82,73,66]
[-38,227,100];[84,75,74]
[-38,226,100];[82,77,74]
[-38,225,101];[87,79,79]
[-38,222,102];[84,74,74]
[-39,238,93];[82,60,41]
[-39,237,93];[165,134,82]
[-39,235,95];[49,40,41]
[-39,232,96];[68,60,52]
[-39,231,97];[49,42,38]
[-39,228,99];[109,101,93]
[-39,227,99];[109,101,93]
[-39,224,101];[82,77,74]
[-39,223,102];[82,77,74]
[-39,221,103];[82,77,74]
[-39,220,103];[87,79,79]
[-40,238,92];[82,65,41]
[-40,237,92];[165,134,82]
[-40,234,94];[88,82,79]
[-40,233,95];[66,60,57]
[-40,231,96];[71,60,54]
[-40,227,98];[82,73,66]
[-40,226,99];[104,95,90]
[-40,225,99];[93,86,82]
[-40,224,100];[87,78,76]
[-40,223,101];[76,74,68]
[-40,221,102];[82,73,74]
[-40,220,102];[82,73,74]
[-40,219,103];[90,77,74]
[-41,240,91];[154,127,90]
[-41,238,92];[165,134,82]
[-41,237,92];[165,134,82]
[-41,236,93];[73,60,49]
[-41,234,94];[88,82,79]
[-41,230,96];[71,60,54]
[-41,228,97];[46,38,35]
[-41,227,98];[49,40,38]
[-41,225,99];[87,78,76]
[-41,224,99];[99,89,82]
[-41,222,100];[90,81,74]
[-41,221,101];[82,73,74]
[-41,220,101];[82,73,74]
[-41,219,102];[82,73,74]
[-41,218,102];[82,74,74]
[-42,239,90];[82,60,41]
[-42,236,91];[73,57,49]
[-42,235,92];[73,57,49]
[-42,234,93];[93,86,85]
[-42,233,93];[66,56,57]
[-42,224,99];[55,48,40]
[-42,223,99];[99,89,90]
[-42,218,102];[82,73,74]
[-43,237,91];[115,85,66]
[-43,234,92];[93,86,85]
[-43,231,94];[71,64,60]
[-43,230,95];[71,63,62]
[-43,229,95];[82,69,74]
[-43,226,97];[65,60,57]
[-43,225,97];[60,56,52]
[-43,224,98];[33,28,16]
[-43,222,99];[82,73,66]
[-43,221,100];[82,73,66]
[-43,218,101];[82,73,74]
[-44,236,91];[49,36,33]
[-44,235,92];[93,83,76]
[-44,233,93];[66,56,57]
[-44,232,93];[68,61,60]
[-44,230,94];[71,61,62]
[-44,228,96];[66,56,57]
[-44,225,97];[60,56,52]
[-44,223,98];[49,48,41]
[-44,219,100];[85,75,76]
[-45,237,89];[73,56,44]
[-45,235,90];[101,94,90]
[-45,233,92];[74,69,66]
[-45,231,93];[66,56,57]
[-45,230,94];[66,56,57]
[-45,229,94];[82,73,74]
[-45,227,95];[74,69,66]
[-45,226,96];[71,65,62]
[-45,225,97];[82,77,74]
[-45,223,98];[74,69,66]
[-45,222,99];[49,48,41]
[-45,221,99];[46,47,38]
[-45,220,100];[85,75,76]
[-46,238,89];[123,97,66]
[-46,237,89];[95,74,52]
[-46,233,91];[62,56,51]
[-46,232,92];[71,64,63]
[-46,231,93];[66,56,57]
[-46,229,94];[76,67,68]
[-46,228,94];[68,62,60]
[-46,227,95];[62,55,54]
[-46,224,97];[63,60,55]
[-46,223,97];[74,73,66]
[-46,222,98];[74,69,66]
[-46,221,98];[60,58,52]
[-46,220,99];[46,47,38]
[-46,219,99];[41,40,41]
[-47,238,89];[95,74,52]
[-47,237,89];[41,28,24]
[-47,236,90];[104,91,87]
[-47,235,90];[104,91,87]
[-47,231,92];[63,60,54]
[-47,230,93];[66,56,57]
[-47,227,94];[57,48,49]
[-47,226,95];[71,64,62]
[-47,223,96];[74,69,66]
[-47,222,97];[41,36,33]
[-47,221,97];[66,60,57]
[-48,237,88];[41,28,24]
[-48,236,88];[115,103,98]
[-48,235,89];[66,56,49]
[-48,232,91];[57,52,49]
[-48,230,92];[60,56,51]
[-48,229,93];[63,57,54]
[-48,228,93];[65,56,54]
[-48,224,96];[74,69,66]
[-48,223,96];[74,69,66]
[-48,222,97];[76,71,68]
[-48,221,98];[90,84,79]
[-48,220,98];[66,60,57]
[-49,237,88];[71,52,38]
[-49,236,88];[140,125,123]
[-49,235,89];[66,60,49]
[-49,233,90];[68,59,51]
[-49,231,91];[57,48,49]
[-49,229,92];[57,52,49]
[-49,225,95];[74,69,65]
[-49,224,95];[66,60,57]
[-49,223,96];[68,63,60]
[-49,222,96];[82,77,74]
[-49,221,97];[76,71,68]
[-49,220,97];[90,81,74]
[-50,234,89];[57,44,41]
[-50,233,89];[57,44,41]
[-50,232,90];[68,56,51]
[-50,228,92];[68,60,54]
[-50,226,93];[71,64,62]
[-50,225,94];[71,66,63]
[-50,222,95];[66,60,57]
[-50,220,96];[90,81,74]
[-51,234,88];[65,56,49]
[-51,233,88];[57,48,41]
[-51,231,89];[68,56,51]
[-51,230,90];[62,52,51]
[-51,228,91];[68,60,54]
[-51,227,92];[66,60,57]
[-51,226,92];[66,60,57]
[-51,223,94];[68,63,60]
[-51,221,95];[115,101,99]
[-52,236,87];[66,56,57]
[-52,235,87];[62,57,54]
[-52,234,88];[82,73,66]
[-52,232,89];[60,52,46]
[-52,231,89];[66,60,57]
[-52,230,90];[62,52,51]
[-52,229,90];[68,56,54]
[-52,226,92];[66,60,57]
[-52,225,93];[66,60,57]
[-52,222,94];[66,60,57]
[-52,221,95];[82,77,74]
[-52,220,95];[60,55,52]
[-53,235,86];[62,57,54]
[-53,233,87];[68,63,60]
[-53,232,88];[63,56,51]
[-53,231,88];[63,56,51]
[-53,229,89];[74,60,57]
[-53,228,90];[57,52,49]
[-53,227,91];[65,59,57]
[-51,222,95];[66,60,57]
[-53,225,92];[71,64,62]
[-53,224,93];[66,60,57]
[-54,233,87];[60,54,51]
[-54,232,87];[60,54,51]
[-54,230,88];[49,44,41]
[-54,229,89];[57,52,46]
[-54,228,90];[66,56,49]
[-54,227,90];[66,56,49]
[-54,225,91];[66,56,57]
[-54,223,92];[71,64,62]
[-54,222,93];[71,61,62]
[-55,234,86];[66,56,57]
[-55,231,88];[74,65,66]
[-55,229,89];[57,51,49]
[-55,228,90];[57,44,41]
[-55,226,91];[65,59,57]
[-55,224,92];[66,60,57]
[-56,234,85];[71,62,63]
[-56,233,85];[66,56,57]
[-56,232,86];[66,60,57]
[-56,230,87];[74,65,66]
[-56,229,88];[62,56,54]
[-56,227,89];[68,60,60]
[-56,226,89];[57,48,41]
[-56,221,92];[62,52,49]
[-57,231,86];[74,65,66]
[-57,226,89];[63,56,51]
[-57,224,90];[66,60,57]
[-57,222,91];[82,78,77]
[-58,234,85];[71,61,62]
[-58,233,85];[71,62,57]
[-58,232,86];[66,56,57]
[-58,231,86];[68,61,60]
[-58,229,87];[65,61,57]
[-58,226,89];[66,60,57]
[-58,225,90];[66,60,57]
[-58,224,90];[66,60,57]
[-58,223,91];[99,93,90]
[-59,232,84];[66,56,57]
[-59,230,85];[74,73,66]
[-59,229,86];[66,60,57]
[-59,227,87];[71,65,62]
[-59,225,89];[66,60,57]
[-59,224,89];[71,64,62]
[-59,222,90];[49,44,41]
[-60,232,84];[66,56,57]
[-60,231,85];[71,64,63]
[-60,228,86];[74,65,62]
[-61,232,83];[82,73,74]
[-61,231,84];[76,67,68]
[-61,230,84];[66,60,57]
[-61,224,87];[85,74,74]
[-62,232,83];[82,73,74]
[-62,230,84];[71,64,62]
[-62,229,85];[71,64,62]
[-62,228,85];[66,60,57]
[-62,227,86];[66,60,57]
[-62,226,86];[66,60,57]
[-62,225,87];[71,69,62]
[-62,224,88];[107,93,90]
[-63,232,83];[71,67,62]
[-63,229,84];[66,60,57]
[-63,228,85];[66,60,57]
[-63,227,85];[71,64,60]
[-63,225,86];[71,69,62]
[-63,224,87];[71,69,62]
[-64,229,83];[71,64,60]
[-64,226,85];[71,64,63]
[-64,225,85];[71,64,63]
[-64,224,86];[165,150,148]
[-65,228,83];[82,73,74]
[-65,226,85];[71,64,63]
[-65,224,86];[165,150,148]
[-66,231,82];[66,60,57]
[-66,229,83];[76,65,62]
[-66,228,83];[74,60,57]
[-66,226,84];[74,65,57]
[-66,225,85];[74,65,57]
[-66,224,85];[57,52,49]
[-67,227,83];[74,65,57]
[-67,225,84];[87,78,73]
[-67,224,84];[57,52,49]
[-68,230,81];[66,60,57]
[-68,228,82];[76,71,68]
[-69,228,82];[74,69,66]
[-69,227,82];[74,69,66]
[-69,224,84];[57,44,41]
[-70,229,80];[71,64,60]
[-70,228,80];[71,64,63]
[-70,226,81];[74,69,66]
[-70,225,82];[57,48,41]
[-71,229,80];[71,64,62]
[-71,227,81];[71,64,63]
[-71,225,82];[66,52,49]
[-72,229,79];[76,68,68]
[-72,228,79];[71,66,63]
[-72,227,80];[71,66,63]
[-72,225,81];[66,52,49]
[-73,226,80];[84,75,73]
[-73,225,80];[57,48,49]
[-74,227,79];[107,93,90]
[-74,225,80];[57,48,49]
[-75,227,79];[115,101,99]
[-76,226,78];[49,36,33]
[-77,227,77];[57,40,38]
[-77,226,78];[49,36,33]
[-78,226,77];[41,24,24]
[-79,226,77];[16,8,0]
[-114,226,77];[41,66,104]
[-115,228,75];[38,64,104]
[-115,228,74];[43,70,109]
[-115,227,75];[38,62,104]
[-115,224,76];[32,53,90]
[-115,220,78];[35,54,90]
[-113,228,76];[43,68,109]
[-113,227,76];[41,70,109]
[-114,228,75];[38,64,104]
[-114,227,75];[38,64,104]
[-114,226,76];[41,65,107]
[-114,225,76];[38,62,104]
[-114,223,77];[41,61,101]
[-115,227,74];[38,61,87]
[-115,224,75];[32,53,90]
[-115,223,76];[32,53,90]
[-115,222,76];[49,52,57]
[-101,184,102];[74,65,66]
[-99,181,102];[74,65,66]
[-101,181,102];[74,65,66]
[-99,180,103];[76,67,66]
[-100,180,103];[74,65,66]
[-100,179,103];[74,69,66]
[-104,179,102];[74,69,66]
[-99,178,103];[74,69,66]
[-102,178,102];[74,69,66]
[-106,178,100];[74,69,66]
[-99,177,103];[74,69,66]
[-103,177,102];[76,67,68]
[-99,176,103];[71,66,63]
[-107,176,99];[76,70,68]
[-102,175,102];[74,69,66]
[-108,175,99];[76,70,68]
[-108,174,100];[76,70,68]
[-110,173,98];[90,79,77]
[-96,179,104];[74,69,66]
[-96,178,103];[74,69,66]
[-97,179,103];[74,69,66]
[-97,177,103];[74,65,66]
[-98,181,103];[74,65,66]
[-98,178,103];[74,69,66]
[-98,177,103];[74,69,66]
[-99,183,103];[74,65,66]
[-99,182,103];[74,65,66]
[-99,181,103];[74,65,66]
[-99,180,102];[74,65,66]
[-99,178,102];[74,69,66]
[-100,183,103];[74,65,66]
[-100,181,103];[74,65,66]
[-100,177,102];[74,69,66]
[-100,176,102];[82,73,71]
[-101,183,103];[74,65,66]
[-101,180,102];[82,73,74]
[-101,176,102];[74,69,66]
[-102,182,102];[74,65,66]
[-102,180,102];[79,74,71]
[-102,179,101];[74,69,66]
[-102,177,101];[76,67,68]
[-102,176,101];[76,67,68]
[-103,180,102];[74,69,66]
[-103,177,101];[76,67,68]
[-103,175,101];[79,70,71]
[-104,178,101];[74,69,66]
[-104,177,101];[74,69,66]
[-104,176,101];[76,67,68]
[-104,175,101];[76,67,68]
[-105,179,101];[74,69,66]
[-105,178,101];[74,69,66]
[-105,177,101];[74,69,66]
[-105,176,100];[74,69,66]
[-105,175,100];[82,69,66]
[-105,174,100];[82,69,66]
[-106,174,100];[82,69,66]
[-107,176,100];[76,70,68]
[-107,175,100];[76,70,68]
[-107,174,100];[76,70,68]
[-108,176,100];[76,70,68]
[-109,174,99];[82,69,66]
[-110,173,99];[98,90,88]
[-58,285,56];[121,110,109]
[-59,285,56];[132,113,115]
[-70,282,55];[126,114,109]
[-64,283,54];[115,101,99]
[-68,282,54];[115,97,99]
[-66,283,55];[115,101,99]
[-60,284,56];[120,110,104]
[-61,284,56];[120,110,104]
[-62,284,56];[132,121,115]
[-68,281,54];[107,97,90]
[-68,281,53];[107,97,90]
[-69,282,55];[115,105,99]
[-69,281,54];[107,97,90]
[-69,281,53];[107,97,90]
[-70,281,55];[107,97,90]
[-70,281,54];[107,97,90]
[-71,281,55];[107,97,90]
[-129,216,60];[189,182,173]
[-126,215,57];[112,98,95]
[-127,213,60];[140,125,115]
[-126,212,59];[123,110,104]
[-126,211,60];[123,105,107]
[-127,215,58];[123,109,107]
[-127,214,58];[123,109,104]
[-41,241,101];[8,28,57]
[-42,240,101];[16,36,66]
[-47,238,102];[41,66,104]
[-44,236,102];[35,52,76]
[-49,235,102];[41,69,107]
[-50,234,102];[33,44,66]
[-39,244,101];[16,24,49]
[-40,243,101];[21,32,60]
[-41,243,101];[30,45,71]
[-42,240,102];[16,36,66]
[-43,240,101];[38,57,96]
[-43,238,102];[24,40,74]
[-44,241,101];[38,57,96]
[-44,240,102];[41,60,99]
[-44,237,102];[24,40,74]
[-45,239,102];[38,59,93]
[-45,238,102];[41,65,99]
[-45,236,102];[35,53,87]
[-46,239,101];[35,60,95]
[-46,238,102];[38,59,93]
[-46,237,102];[41,65,99]
[-46,236,102];[41,65,99]
[-46,234,103];[38,56,93]
[-47,238,101];[41,69,107]
[-47,237,102];[41,60,99]
[-47,236,102];[41,65,99]
[-48,237,102];[41,69,107]
[-48,236,102];[41,63,101]
[-48,235,102];[41,69,107]
[-49,236,102];[41,69,107]
[-49,235,103];[41,69,107]
[-50,236,102];[41,65,107]
[-50,234,103];[33,44,66]
[-51,235,102];[46,73,112]
[-81,204,105];[41,65,107]
